央视卫视,#genre#
CCTV1综合,http://23.237.228.134/live5/CCTV1.m3u8
CCTV2经济,http://23.237.228.134/live5/CCTV2.m3u8
CCTV3综艺,http://23.237.228.134/live5/CCTV3.m3u8
CCTV4中文国际,http://23.237.228.134/live5/CCTV4.m3u8
CCTV5体育,http://23.237.228.134/live5/CCTV5.m3u8
CCTV5+体育赛事,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV6电影,http://23.237.228.133/live/CCTV6_MG.m3u8
CCTV7军事,http://23.237.228.134/live5/CCTV7.m3u8
CCTV8电视剧,http://23.237.228.134/live5/CCTV8.m3u8
CCTV9纪录片,http://23.237.228.134/live5/CCTV9.m3u8
CCTV10科教,http://23.237.228.134/live3/CCTV10.m3u8
CCTV11戏曲,http://23.237.228.134/live3/CCTV11.m3u8
CCTV12社会与法,http://23.237.228.134/live3/CCTV12.m3u8
CCTV-13新闻,http://23.237.228.134/live3/CCTV13.m3u8
CCTV14少儿,http://23.237.228.134/live3/CCTV14.m3u8
CCTV15音乐频道,http://23.237.228.134/live3/CCTV15.m3u8
CCTV17,http://23.237.228.134/live3/CCTV17.m3u8
CGTN频道,http://23.237.228.134/live3/CGTN.m3u8
东方卫视,http://23.237.228.134/live3/dongfang.m3u8
北京卫视,http://23.237.228.134/live3/beijing.m3u8
江苏卫视,http://23.237.228.134/live3/jiangsu.m3u8
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
浙江卫视,http://23.237.228.134/live6/zhejiang.m3u8
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
黑龙江卫视,http://23.237.228.134/live6/heilongjiang.m3u8
海南卫视,http://23.237.228.134/live6/hainan.m3u8
重庆卫视,http://23.237.228.134/live6/chongqing.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
四川卫视,http://23.237.228.134/live6/sichuan.m3u8
河南卫视,http://23.237.228.134/live6/henan.m3u8
东南卫视,http://23.237.228.134/live6/dongnan.m3u8
贵州卫视,http://23.237.228.134/live6/guizhou.m3u8
山东卫视,http://23.237.228.134/live8/shandong.m3u8
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
辽宁卫视,http://23.237.228.134/live8/liaoning.m3u8
天津卫视,http://23.237.228.134/live8/tianjing.m3u8
江西卫视,http://23.237.228.134/live8/jiangxi.m3u8
河北卫视,http://23.237.228.134/live8/hebei.m3u8
陕西卫视,http://23.237.228.134/live8/shanxiws.m3u8
内蒙古卫视,http://23.237.228.134/live8/neimenggu.m3u8
云南卫视,http://23.237.228.134/live8/yunnan.m3u8
甘肃卫视,http://23.237.228.134/live8/gansu.m3u8
吉林卫视,http://23.237.228.134/live8/jilin.m3u8
青海卫视,http://23.237.228.134/live8/qinghai.m3u8
山西卫视,http://23.237.228.134/live8/shanxi.m3u8

台湾电台,#genre#
華視,rtmp://f13h.mine.nu/sat/tv111
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
东森超视,rtmp://f13h.mine.nu/sat/tv331


海外电台,#genre#
テレビ朝日,http://23.237.228.133/live/ntv3.m3u8
TBS,http://23.237.228.133/live/tbs.m3u8
TV FUJI,http://23.237.228.133/live/tvfuji.m3u8
TV ASAHI,http://23.237.228.133/live/tvasahi.m3u8
TV TOKYO,http://23.237.228.133/live/tvtokyo.m3u8
WOWOWライブ,http://23.237.228.133/live/wowow2.m3u8
WOWOWシネマ,http://23.237.228.133/live/wowow3.m3u8
WOWOWプライム,http://23.237.228.133/live/wowow1.m3u8
8TV,http://23.237.228.133/live/8TV.m3u8
TV2,http://23.237.228.133/live/TV2.m3u8
Channel U,http://23.237.228.133/live/channelu.m3u8
Channel 5,http://23.237.228.133/live/channel5.m3u8
Channel 8,http://23.237.228.133/live/channel8.m3u8
Suria,http://23.237.228.133/live/Suria.m3u8
城市電視,http://23.237.228.133/live/chengshidianshi.m3u8
